Three independent Ar reservoirs with Cu nanoparticles

65478 atoms
7 atom types

-3.61500000 288.61500000 xlo xhi
-47.50000000 47.50000000 ylo yhi
-47.50000000 47.50000000 zlo zhi

Masses

1 39.948  # Ar reservoir 1
2 39.948  # Ar reservoir 2
3 39.948  # Ar reservoir 3
4 63.546  # Cu nanoparticle 1
5 63.546  # Cu nanoparticle 2
6 63.546  # Cu nanoparticle 3
7 63.546  # fixed Cu walls

Atoms # atomic

1 7 -3.61500000 -47.50000000 -47.50000000
2 7 -1.80750000 -45.69250000 -47.50000000
3 7 -1.80750000 -47.50000000 -45.69250000
4 7 -3.61500000 -45.69250000 -45.69250000
5 7 -3.61500000 -47.50000000 -43.88500000
6 7 -1.80750000 -45.69250000 -43.88500000
7 7 -1.80750000 -47.50000000 -42.07750000
8 7 -3.61500000 -45.69250000 -42.07750000
9 7 -3.61500000 -47.50000000 -40.27000000
10 7 -1.80750000 -45.69250000 -40.27000000
11 7 -1.80750000 -47.50000000 -38.46250000
12 7 -3.61500000 -45.69250000 -38.46250000
13 7 -3.61500000 -47.50000000 -36.65500000
14 7 -1.80750000 -45.69250000 -36.65500000
15 7 -1.80750000 -47.50000000 -34.84750000
16 7 -3.61500000 -45.69250000 -34.84750000
17 7 -3.61500000 -47.50000000 -33.04000000
18 7 -1.80750000 -45.69250000 -33.04000000
19 7 -1.80750000 -47.50000000 -31.23250000
20 7 -3.61500000 -45.69250000 -31.23250000
21 7 -3.61500000 -47.50000000 -29.42500000
22 7 -1.80750000 -45.69250000 -29.42500000
23 7 -1.80750000 -47.50000000 -27.61750000
24 7 -3.61500000 -45.69250000 -27.61750000
25 7 -3.61500000 -47.50000000 -25.81000000
26 7 -1.80750000 -45.69250000 -25.81000000
27 7 -1.80750000 -47.50000000 -24.00250000
28 7 -3.61500000 -45.69250000 -24.00250000
29 7 -3.61500000 -47.50000000 -22.19500000
30 7 -1.80750000 -45.69250000 -22.19500000
31 7 -1.80750000 -47.50000000 -20.38750000
32 7 -3.61500000 -45.69250000 -20.38750000
33 7 -3.61500000 -47.50000000 -18.58000000
34 7 -1.80750000 -45.69250000 -18.58000000
35 7 -1.80750000 -47.50000000 -16.77250000
36 7 -3.61500000 -45.69250000 -16.77250000
37 7 -3.61500000 -47.50000000 -14.96500000
38 7 -1.80750000 -45.69250000 -14.96500000
39 7 -1.80750000 -47.50000000 -13.15750000
40 7 -3.61500000 -45.69250000 -13.15750000
41 7 -3.61500000 -47.50000000 -11.35000000
42 7 -1.80750000 -45.69250000 -11.35000000
43 7 -1.80750000 -47.50000000 -9.54250000
44 7 -3.61500000 -45.69250000 -9.54250000
45 7 -3.61500000 -47.50000000 -7.73500000
46 7 -1.80750000 -45.69250000 -7.73500000
47 7 -1.80750000 -47.50000000 -5.92750000
48 7 -3.61500000 -45.69250000 -5.92750000
49 7 -3.61500000 -47.50000000 -4.12000000
50 7 -1.80750000 -45.69250000 -4.12000000
51 7 -1.80750000 -47.50000000 -2.31250000
52 7 -3.61500000 -45.69250000 -2.31250000
53 7 -3.61500000 -47.50000000 -0.50500000
54 7 -1.80750000 -45.69250000 -0.50500000
55 7 -1.80750000 -47.50000000 1.30250000
56 7 -3.61500000 -45.69250000 1.30250000
57 7 -3.61500000 -47.50000000 3.11000000
58 7 -1.80750000 -45.69250000 3.11000000
59 7 -1.80750000 -47.50000000 4.91750000
60 7 -3.61500000 -45.69250000 4.91750000
61 7 -3.61500000 -47.50000000 6.72500000
62 7 -1.80750000 -45.69250000 6.72500000
63 7 -1.80750000 -47.50000000 8.53250000
64 7 -3.61500000 -45.69250000 8.53250000
65 7 -3.61500000 -47.50000000 10.34000000
66 7 -1.80750000 -45.69250000 10.34000000
67 7 -1.80750000 -47.50000000 12.14750000
68 7 -3.61500000 -45.69250000 12.14750000
69 7 -3.61500000 -47.50000000 13.95500000
70 7 -1.80750000 -45.69250000 13.95500000
71 7 -1.80750000 -47.50000000 15.76250000
72 7 -3.61500000 -45.69250000 15.76250000
73 7 -3.61500000 -47.50000000 17.57000000
74 7 -1.80750000 -45.69250000 17.57000000
75 7 -1.80750000 -47.50000000 19.37750000
76 7 -3.61500000 -45.69250000 19.37750000
77 7 -3.61500000 -47.50000000 21.18500000
