time_ps,Tar1,Tar2,Tar3,Tnp1_analytic,Tnp2_analytic,Tnp3_analytic
0.0,170.0,140.0,110.0,170.18308359187617,140.21588647350669,110.82768260868139
1.0,169.54828859431225,139.8208397473661,109.60810171941847,169.7322510159572,140.0341850445143,110.43445957116458
2.0,169.10033238197107,139.64557527914658,109.22120736973568,169.28518736420315,139.85639920156228,110.04624389204864
3.0,168.65608261847467,139.4741513564069,108.83926435302284,168.84184369412318,139.68247357359877,109.66298284619947
4.0,168.2154912088058,139.30651339944,108.46222070004748,168.40217171465562,139.5123534504744,109.28462433921793
5.0,167.77851069935497,139.14260747981822,108.0900250623261,167.9661237780689,139.34598477497087,108.91111689946818
6.0,167.34509426994302,138.98238031254394,107.72262670427608,167.53365287196212,139.1833141349285,108.54240967020567
7.0,166.91519572594103,138.82577924829724,107.35997549546542,167.10471261136297,139.0242887554711,108.17845240180326
8.0,166.488769490487,138.6727522657798,107.00202190295937,166.67925723092287,138.8688564913273,107.8191954440745
9.0,166.0657705967977,138.52324796415348,106.64871698376248,166.25724157720754,138.71696581924704,107.46458973869252
10.0,165.64615468057494,138.3772155555728,106.3000123773551,165.83862110108228,138.56856583051186,107.1145868117038
11.0,165.22987797250454,138.23460485780961,105.95586029832296,165.4233518501901,138.42360622353814,106.76913876613513
12.0,164.81689729084738,138.09536628696944,105.61621352907896,165.01139046152235,138.28203729657204,106.42819827469319
13.0,164.40717003412098,137.95945085029786,105.28102541267573,164.60269415408007,138.14380994047457,106.091718572555
14.0,164.00065417387086,137.8268101390761,104.95024984570804,164.19722072162526,138.00887563159642,105.75965345024866
15.0,163.59730824753024,137.6973963216045,104.6238412713039,163.79492852552113,137.87718642474087,105.43195724662291
16.0,163.19709135136725,137.57116213627302,104.3017546722032,163.39577648765953,137.7486949462139,105.10858484190454
17.0,162.7999631335184,137.44806088471745,103.98394556392287,162.9997240834754,137.62335438696033,104.78949165084255
18.0,162.40588378710726,137.32804642506048,103.67036998800751,162.60673133504642,137.50111849578505,104.47463361593792
19.0,162.01481404344756,137.21107316523637,103.36098450536429,162.21675880427748,137.38194157265818,104.16396720075826
20.0,161.6267151653292,137.09709605639836,103.05574618968134,161.82976758616795,137.26577846210301,103.8574493833357
21.0,161.24154894038645,136.98607058640766,102.75461262092833,161.44571930216193,137.15258454666602,103.55503764964747
22.0,160.85927767454749,136.87795277340317,102.45754187893834,161.06457609357952,137.04231574046773,103.25668998717819
23.0,160.47986418556377,136.77269915945055,102.16449253707013,160.68630061512863,136.9349284828332,102.96236487856225
24.0,160.10327179661877,136.67026680427034,101.87542365594955,160.31085602849592,136.83037973200155,102.67202129530617
25.0,159.7294643300147,136.57061327904324,101.59029477728933,159.93820599601634,136.7286269589135,102.38561869158919
26.0,159.35840610093663,136.4736966602925,101.30906591778631,159.5683146744201,136.6296281410755,102.10311699814154
27.0,158.99006191129266,136.37947552384176,101.03169756309491,159.2011467086559,136.53334175650008,101.8244766161994
28.0,158.62439704362944,136.2879089388478,100.75815066187612,158.8366672257899,136.43972677772098,101.54965841153533
29.0,158.26137725512228,136.1989564619072,100.48838661992099,158.47484182897918,136.34874266588278,101.27862370856366
30.0,157.90096877163833,136.1125781312356,100.22236729434779,158.11563659151872,136.26034936490305,101.01133428451945
