time_ps,Tar1,Tar2,Tar3,Tnp1_analytic,Tnp2_analytic,Tnp3_analytic
0.0,173.5,143.5,125.5,173.70936182146377,143.81936380356683,126.2636405851442
1.0,172.69368978308526,142.90153571200557,124.70918767110348,172.9023326565323,143.21737875150183,125.47065553390445
2.0,171.8959906601584,142.3119521164557,123.92804992993099,172.1039432532513,142.62430613769402,124.68736399906948
3.0,171.106793169839,141.73113447559572,123.15647484138981,171.31408378623328,142.0400309181255,123.91365373410265
4.0,170.32598924207645,141.15896944737378,122.3943518424014,170.5326458254922,141.46443944836764,123.14941386867045
5.0,169.55347218092746,140.59534506833,121.64157172477405,169.7595223191718,140.8974194664198,122.39453489146428
6.0,168.78913664754594,140.04015073669768,120.89802661828784,168.99460757648654,140.338860075761,121.64890863323545
7.0,168.03287864338265,139.49327719571377,120.16360997398965,168.23779725087343,139.7886517286114,120.91242825004059
8.0,167.28459549359167,138.95461651713603,119.43821654769539,167.48898832335084,139.24668620940096,120.18498820669502
9.0,166.54418583064157,138.42406208496448,118.721742383697,166.74807908608292,138.71285661844323,119.46648426043137
10.0,165.8115495781285,137.9015085793643,118.01408479867165,166.01496912614635,138.1870573558109,118.75681344476111
11.0,165.08658793478858,137.38685196078808,117.31514236579059,165.28955930949695,137.66918410541152,118.05587405353629
12.0,164.3692033587075,136.87998945429453,116.62481489902532,164.5717517651342,137.1591338192601,117.36356562520902
13.0,163.65929955172456,136.38081953406157,115.9430034376485,163.86144986946078,136.65680470194675,116.67978892728652
14.0,162.95678144402896,135.8892419080911,115.26961023092723,163.1585582308347,136.16209619529667,116.0044459409789
15.0,162.26155517894574,135.40515750310334,114.60453872300641,162.4629826743119,135.67490896321993,115.33743984603754
16.0,161.57352809790925,134.92846844961826,113.94769353797972,161.77463022657668,135.19514487674923,114.67867500578187
17.0,160.89260872562178,134.4590780672217,113.29898046514589,161.0934091010581,134.72270699926273,114.02805695231174
18.0,160.21870675539492,133.99689085001398,112.65830644444812,160.41922868322942,134.25749957188995,113.38549237190364
19.0,159.55173303467149,133.54181245223884,112.02557955209421,159.75199951608863,133.79942799909858,112.75088909058795
20.0,158.8915995507259,133.09374967409028,111.40070898635531,159.09163328581815,133.34839883445957,112.1241560599056
21.0,158.2382194165407,132.6526104476952,110.78360505354091,158.43804280762092,132.90431976658869,111.50520334284127
22.0,157.59150685685668,132.21830382326965,110.17417915414809,157.791142011731,132.46709960526218,110.89394209993148
23.0,156.9513771943954,131.79073995544658,109.57234376918278,157.15084592959641,132.03664826770424,110.29028457554503
24.0,156.3177468362509,131.36983008977285,108.97801244665081,156.5170706802324,131.61287676504455,109.69414408433396
25.0,155.6905332604492,130.95548654937343,108.39109978821685,155.8897334567424,131.19569718894337,109.10543499785268
26.0,155.0696550026733,130.5476227217809,107.81152143602903,155.2687525130054,130.78502269838225,108.52407273134338
27.0,154.4550316431516,130.14615304592795,107.23919405970716,154.6540471505269,130.38076750661844,107.94997373068551
28.0,153.8465837937079,129.75099299930096,106.67403534349272,154.04553770545198,129.98284686830087,107.38305545950733
29.0,153.24423308497063,129.36205908525275,106.11596397355834,153.44314553573818,129.59117706674547,106.82323638645772
30.0,152.6479021537397,128.97926882047233,105.56489962547506,152.84679300848643,129.20567540136838,106.27043597263597
31.0,152.0575146305089,128.60254072260992,105.02076295183528,152.25640348742795,128.82626017527468,105.72457465917779
32.0,151.47299512714196,128.23179429805518,104.48347557002944,151.671901320565,128.45285068300052,105.18557385499557
33.0,150.89426922470003,127.86695002986677,103.95296005017472,151.0932118279641,128.08536719840754,104.65335592467099
34.0,150.32126346141936,127.5079293658514,103.42913990319362,150.52026128969925,127.72373096272682,104.12784417649804
35.0,149.75390532083685,127.15465470679041,102.91193956904077,149.95297693394386,127.3678641727511,103.60896285067464
36.0,149.19212322006157,126.80704939481231,102.40128440507611,149.39128692520893,127.01768996917305,103.096637107641
37.0,148.63584649819092,126.46503770190913,101.8971006745825,148.83512035272608,126.67313242506805,102.59079301656305
38.0,148.08500540486915,126.12854481859502,101.3993155354261,148.284407218974,126.33411653451954,102.09135754395878
39.0,147.53953108898682,125.79749684270527,100.90785702885773,147.73907842834538,126.0005682013852,101.5982585424662
40.0,146.99935558751918,125.47182076833408,100.4226540684535,147.19906577595378,125.6724142282023,101.11142473975072
41.0,146.46441181450206,125.15144447490917,99.9436364291928,146.66430193657837,125.34958230523027,100.63078572755067
42.0,145.9346335501433,124.83629671640175,99.47073473667228,146.1347204537441,125.03200099962916,100.15627195085878
43.0,145.40995543006818,124.52630711067007,99.00388045645386,145.6102557289371,124.71959974477184,99.6878146972383
44.0,144.89031293469722,124.22140612893489,98.54300588354515,145.09084301095183,124.41230882968867,99.22534608627201
45.0,144.37564237875455,123.9215250853852,98.08804413201085,144.57641838537012,124.11005938864288,98.76879905914238
46.0,143.86588090090547,123.6265961269127,97.63892912471327,144.06691876416917,123.81278339083482,98.31810736834132
47.0,143.36096645352146,123.33655222297335,97.19559558318045,143.5622818754576,123.520413630234,97.87320556750792
48.0,142.86083779257098,123.05132715557437,96.75797901760036,143.06244625333753,123.23288371553659,97.43402900139262
49.0,142.3654344676348,122.77085550938523,96.32601571693964,142.56735122789178,122.95012806024762,97.00051379594623
50.0,141.87469681204396,122.49507266197107,95.8996427391851,142.0769369152938,122.6720818728857,96.57259684853221
51.0,141.38856593313918,122.22391477414698,95.47879790170686,141.5911442080395,122.39868114730915,96.15021581826073
52.0,140.90698370264985,121.9573187804517,95.06341977174128,141.10991476529904,122.12986265316174,95.73330911644305
53.0,140.42989274719167,121.69522237973923,94.65344765699237,140.63319100338765,121.86556392643688,95.32181589716468
54.0,139.95723643888073,121.43756402588689,94.24882159635014,140.1609160863531,121.60572326015834,94.91567604797574
55.0,139.48895888606336,121.18428291861835,93.84948235072454,139.6930339166793,121.35027969517667,94.51483018069732
56.0,139.0250049241597,120.93531899444032,93.45537139399347,139.22948912610414,121.09917301107912,94.11921962234231
57.0,138.56532010662008,120.69061291769133,93.06643090406344,138.77022706655006,120.8523437172124,93.72878640614896
58.0,138.10985069599232,120.45010607170134,92.68260375404162,138.3151938011665,120.60973304381649,93.34347326272649
59.0,137.6585436550991,120.21374055006075,92.30383350351775,137.86433609548186,120.37128293326793,92.96322361131061
60.0,137.21134663832356,119.98145914799738,91.9300643899546,137.417601408665,120.13693603143184,92.58798155112798
61.0,136.76820798300227,119.75320535386034,91.56124132018569,136.9749378848936,119.9066356791207,92.21769185286838
62.0,136.32907670092374,119.52892334070903,91.1973098620189,136.53629434482872,119.6803259036589,91.85229995026285
63.0,135.89390246993148,119.30855795800643,90.83821623594467,136.10162027719434,119.45795141055173,91.49175193176686
64.0,135.4626356256304,119.09205472341509,90.48390730694746,135.6708658304602,119.23945757525736,91.13599453234704
65.0,135.03522715319508,118.87935981469457,90.13433057641926,135.243981804627,119.02479043506075,90.7849751253703
66.0,134.61162867927845,118.67042006169923,89.78943417417385,134.8209196431124,118.81389668104792,90.43864171459371
67.0,134.1917924640203,118.465182938475,89.44916685056057,134.40163142473693,118.60672365017975,90.09694292625468
68.0,133.77567139315366,118.26359655545383,89.11347796867639,133.98606985580815,118.40321931746365,89.75982800125918
69.0,133.36321897020832,118.06560965174485,88.78231749667496,133.57418826230221,118.20333228822219,89.4272467874677
70.0,132.95438930881016,117.87117158752076,88.45563600017167,133.1659405821416,118.00701179045727,89.09914973207708
71.0,132.54913712507488,117.6802323364985,88.13338463474322,132.7612813575672,117.81420766730893,88.77548787409755
72.0,132.14741773009538,117.49274247851287,87.81551513852092,132.36016572760502,117.62487036960728,88.45621283692333
73.0,131.74918702252137,117.30865319218199,87.5019798248761,131.96254942062444,117.43895094851653,88.14127682099593
74.0,131.35440148123,117.12791624766358,87.1927315751969,131.5683887469886,117.25640104827025,87.83063259655904
75.0,130.9630181580867,116.95048399950069,86.88772383175508,131.17764059179464,117.0771728989962,87.52423349650358
76.0,130.5749946707947,116.77630937955603,86.58691059066182,130.79026240770338,116.90121930963002,87.22203340930206
77.0,130.19028919583255,116.60534589003353,86.29024639491138,130.40621220785684,116.72849366091667,86.92398677203116
78.0,129.80886046147828,116.43754759658641,85.99768632751157,130.0254485588829,116.55894989849816,86.63004856348118
79.0,129.43066774091923,116.27286912151027,85.70918600469989,129.64793057398572,116.39254252608704,86.34017429735158
80.0,129.05567084544649,116.11126563702041,85.42470156924436,129.27361790612107,116.22922659872408,86.05432001553133
81.0,128.68383011773275,115.95269285861234,85.14418968382796,128.90247074125566,116.06895771611944,85.77244228146321
82.0,128.31510642519294,115.79710703850428,84.86760752451556,128.53444979170857,115.91169201607617,85.49449817359083
83.0,127.94946115342617,115.64446495916079,84.59491277430257,128.1695162895754,115.75738616799488,85.22044527888745
84.0,127.5868561997382,115.49472392689638,84.32606361674394,127.8076319802322,115.60599736645895,84.95024168646566
85.0,127.22725396674343,115.34784176555836,84.06101872966283,127.4487591159198,115.45748332489883,84.68384598126674
86.0,126.87061735604549,115.20377681028752,83.79973727893785,127.09286044940652,115.31180226933473,84.42121723782888
87.0,126.5169097619952,115.06248790135619,83.54217891236779,126.73989922772877,115.16891293219673,84.16231501413316
88.0,126.16609506552534,114.92393437808225,83.28830375361309,126.38983918600854,115.02877454622113,83.90709934552642
89.0,125.81813762806094,114.78807607281847,83.03807239621297,126.04264454134669,114.89134683842231,83.65553073872007
90.0,125.4730022855043,114.65487330501608,82.79144589767725,125.69827998679109,114.75659002413913,83.40757016586383
91.0,125.13065434229382,114.52428687536172,82.54838577365209,125.35671068537897,114.62446480115489,83.16317905869349
92.0,124.79105956553579,114.39627805998681,82.30885399215856,125.01790226425213,114.49493234388981,82.92231930275182
93.0,124.45418417920803,114.27080860474847,82.0728129679033,124.68182080884458,114.36795429766552,82.68495323168172
94.0,124.11999485843475,114.1478407195811,81.84022555666023,124.34843285714135,114.24349277304015,82.45104362159069
95.0,123.78845872383158,114.02733707291777,81.61105504972254,124.01770539400768,114.12151034021362,82.2205536854857
96.0,123.45954333591995,113.90926078618045,81.38526516842404,123.6896058455879,114.00197002350185,81.99344706777772
97.0,123.13321668960998,113.79357542833833,81.16282005872907,123.36410207377293,113.8848352958795,81.76968783885489
98.0,122.8094472087511,113.68024501053337,80.94368428589,123.04116237073563,113.77007007358978,81.5492404897236
99.0,122.48820374074931,113.56923398077221,80.72782282917163,122.7207554535332,113.65763871082112,81.33206992671656
