T_K,Gamma_delta1_kg_s,M_over_Gamma_delta1_ps,Gamma_delta1p39_kg_s,M_over_Gamma_delta1p39_ps
110.0,4.140941605339656e-12,26.883800833257908,5.755908831422121e-12,19.34086390881864
140.0,4.671612173579145e-12,23.829942478896267,6.493540921275012e-12,17.143843509997307
170.0,5.147865890039557e-12,21.625320425596236,7.155533587154985e-12,15.557784478846209
