time,T1,T2,T3,kin1,kin2,kin3,mean_x1,mean_x2,mean_x3
0.0,1.4499999999999997,0.95,0.65,0.0,0.0,0.0,0.35037204608654254,-0.10000000000000074,-0.29999999999999805
0.2,1.1950321893193179,0.7170733998795222,0.3989623366202741,0.05251117741245028,0.03465104412495694,0.023759225779075556,0.3449921546355115,-0.09624286054542272,-0.29400183741152014
0.4,1.0368814433696476,0.5809942056963475,0.2453486623569323,0.10656886326513325,0.060430875317575274,0.041208834314104735,0.32800212416637287,-0.0874195043042217,-0.27734816575302856
0.6,0.937335922842063,0.5035313863116039,0.15093299732568377,0.14716281195128747,0.07026532917567692,0.057440856751213534,0.29964298308019943,-0.07312343271901944,-0.2516099936211385
0.8,0.8732409859569235,0.4615114244240172,0.09254629756844296,0.17413302290958088,0.08051727286572423,0.06730888711536029,0.2605375103980153,-0.056591149656012536,-0.21799396012783676
1.0,0.830567671067473,0.44088680977719164,0.056144954284174986,0.19641094080861382,0.08012177690362218,0.07511082449295108,0.21463181162060738,-0.04015633329222828,-0.17756215087780977
1.2,0.8008177861210242,0.4331411387678684,0.03321589984240991,0.20186785542379806,0.07117727623749538,0.07648385630329516,0.16334379988144918,-0.02207237304663318,-0.1317255813470302
1.4000000000000001,0.778845142515554,0.4331103579921528,0.01859785810451875,0.20309907990426315,0.07445303868796009,0.07584774197171307,0.10847014549688634,-0.002706818540914471,-0.08283382753189648
1.6,0.7615350698494583,0.4376622882270182,0.009160875538048951,0.20893590178460933,0.07403693355730072,0.07251253382729395,0.049484734088636906,0.016838446321335934,-0.03251982578877222
1.8,0.7470041079486627,0.4448963252312511,0.0030060294961747336,0.21639124330428888,0.06794462269424409,0.06812550933542742,-0.012363830691703914,0.036931342942624096,0.01762842773797575
2.0,0.7341149621477155,0.4536584033428022,-0.0010196003729662784,0.20691009995266652,0.0741585739958781,0.062431279428963496,-0.07453441586707493,0.05438453213460972,0.06597469312615514
2.2,0.7221825298468216,0.46324702989523847,-0.003616889576627702,0.19361173066650308,0.07984243056333779,0.05692333436634649,-0.13147695377223476,0.06835233774721586,0.11100874174130851
2.4,0.7107957294731815,0.47323512158276054,-0.005212823970368929,0.20593587585493062,0.08948952401352955,0.05176222932752257,-0.18216759412888353,0.07869326240275493,0.15133435040632257
2.6,0.6997095137392491,0.4833620246678704,-0.006068470811831261,0.22321801670304522,0.10552793197743364,0.047369893858172446,-0.22632145617197555,0.08547174743175408,0.1857087353935535
2.8000000000000003,0.6887794194910895,0.4934680713267,-0.006344413392792625,0.22964508722015536,0.11354618346693723,0.044029530705166776,-0.26359069402914587,0.08533732729502388,0.21312265890714577
3.0,0.6779218977375582,0.5034549157249021,-0.006140405669052662,0.24130273091113202,0.1263896235453234,0.04185666293421161,-0.28954592194404694,0.07862792246823208,0.23283561556096002
3.2,0.6670902683256572,0.5132614942919894,-0.005519402432742182,0.24868875672798058,0.1411030543718618,0.04085894852021893,-0.3034095776361298,0.06900507961418727,0.24438077604809927
3.4,0.6562601443109717,0.5228494552458802,-0.0045221199877749085,0.27826455028584146,0.15881536508769367,0.040989274781553106,-0.30326331594867434,0.055329289215764826,0.24756242942253112
3.6,0.6454205957005337,0.5321943270481926,-0.003175857660384085,0.2974272196446066,0.1652995451979051,0.04217681049459799,-0.2928150430882447,0.03813246502940308,0.24245464419034998
3.8000000000000003,0.6345687917368343,0.5412801649625137,-0.0014998409849785177,0.333708386572847,0.17720004003059983,0.04431791052445339,-0.27198878085883943,0.019672453164963147,0.2294052302089457
