time,T1_rk4,T2_rk4,T3_rk4,T1_exact,T2_exact,T3_exact,dT1,dT2,dT3
0.0,1.45,0.95,0.65,1.4499999999999997,0.95,0.65,2.220446049250313e-16,0.0,0.0
0.2,1.195032199634596,0.7170734099334369,0.3989623466092657,1.1950321893193179,0.7170733998795222,0.3989623366202741,1.0315278187178478e-08,1.005391470076944e-08,9.988991633846922e-09
0.4,1.0368814559780493,0.5809942177991881,0.24534867431229332,1.0368814433696476,0.5809942056963475,0.2453486623569323,1.2608401656066803e-08,1.2102840618588573e-08,1.1955361006732446e-08
0.6,0.9373359344667078,0.5035313972038613,0.15093300797090795,0.937335922842063,0.5035313863116039,0.15093299732568377,1.1624644802310513e-08,1.089225742934019e-08,1.0645224174377077e-08
0.8,0.8732409955713544,0.46151143309677617,0.09254630587826843,0.8732409859569235,0.4615114244240172,0.09254629756844296,9.614430918070127e-09,8.672758955441395e-09,8.309825466623622e-09
1.0,0.8305676786299833,0.44088681620642434,0.05614496021889181,0.830567671067473,0.44088680977719164,0.056144954284174986,7.56251028466437e-09,6.429232701776755e-09,5.934716822142416e-09
1.2,0.8008177919568991,0.43314114329664366,0.03321590373008159,0.8008177861210242,0.4331411387678684,0.03321589984240991,5.8358748944442596e-09,4.528775243706207e-09,3.887671677638149e-09
1.4000000000000001,0.7788451470331718,0.4331103610467037,0.018597860357060823,0.778845142515554,0.4331103579921528,0.01859785810451875,4.517617724353329e-09,3.0545508900026164e-09,2.2525420730057366e-09
1.6,0.761535073423081,0.43766229019950265,0.009160876533999099,0.7615350698494583,0.4376622882270182,0.009160875538048951,3.5736227310678714e-09,1.9724844535495833e-09,9.959501470063747e-10
1.8,0.7470041108806502,0.444896326441933,0.003006029542883046,0.7470041079486627,0.4448963252312511,0.0030060294961747336,2.931987541643366e-09,1.2106818880752712e-09,4.67083125649248e-11
2.0,0.7341149646657764,0.4536584040372724,-0.00101960104210886,0.7341149621477155,0.4536584033428022,-0.0010196003729662784,2.5180608709263197e-09,6.944702035660555e-10,-6.691425816218732e-10
2.2,0.722182532114565,0.4632470302549367,-0.0036168907916613816,0.7221825298468216,0.46324702989523847,-0.003616889576627702,2.267743326456184e-09,3.596982156572892e-10,-1.2150336795718752e-09
2.4,0.7107957316039192,0.47323512173874815,-0.005212825610986655,0.7107957294731815,0.47323512158276054,-0.005212823970368929,2.1307376973922487e-09,1.559876117163128e-10,-1.6406177258745935e-09
2.6,0.6997095158088528,0.4833620247136589,-0.006068472794546658,0.6997095137392491,0.4833620246678704,-0.006068470811831261,2.0696037106304743e-09,4.578848411540548e-11,-1.9827153963786204e-09
2.8000000000000003,0.6887794215485088,0.4934680713287405,-0.006344415660446877,0.6887794194910895,0.4934680713267,-0.006344413392792625,2.0574193460021206e-09,2.0404788969585752e-12,-2.2676542518751397e-09
3.0,0.6779218998128482,0.5034549157305871,-0.006140408182811831,0.6779218977375582,0.5034549157249021,-0.006140405669052662,2.0752900509179995e-09,5.6850080198955766e-12,-2.5137591687027228e-09
3.2,0.66709027043585,0.5132614943354967,-0.0055194051662515765,0.6670902683256572,0.5132614942919894,-0.005519402432742182,2.1101927982769553e-09,4.350730886670817e-11,-2.7335093945313194e-09
3.4,0.6562601464642462,0.5228494553523177,-0.004522122923015074,0.6562601443109717,0.5228494552458802,-0.0045221199877749085,2.1532745586583246e-09,1.0643752546002361e-10,-2.9352401655080573e-09
3.6,0.6454205978991165,0.5321943272364744,-0.0031758607847958893,0.6454205957005337,0.5321943270481926,-0.003175857660384085,2.1985828713155797e-09,1.882818345677606e-10,-3.124411804365096e-09
3.8000000000000003,0.6345687939789867,0.5412801652473225,-0.0014998442895030831,0.6345687917368343,0.5412801649625137,-0.0014998409849785177,2.242152352671667e-09,2.848087321538628e-10,-3.3045245654422795e-09
4.0,0.6237067537857309,0.5500963058939586,0.0004915397296835094,0.6237067515043682,0.5500963055008494,0.0004915432074433235,2.2813627653661683e-09,3.9310921184920744e-10,-3.4777598140710297e-09
4.2,0.6128393747269866,0.5586353988273128,0.0027867856983956035,0.6128393724124893,0.5586353983161582,0.0027867893438179303,2.3144972605138037e-09,5.111546741431994e-10,-3.6454223268506114e-09
4.4,0.601973235587882,0.5668922128757418,0.005376086183152028,0.6019732332474406,0.5668922122382435,0.005376089991392552,2.340441396242454e-09,6.374982763901471e-10,-3.808240524143247e-09
4.6000000000000005,0.5911158691135779,0.5748629111903263,0.00825061805531931,0.5911158667550951,0.5748629104192519,0.008250622021887366,2.3584828534595204e-09,7.710744265310154e-10,-3.9665680566514094e-09
4.8,0.5802753192484985,0.5825446106307284,0.011402113055568222,0.5802753168803217,0.5825446097196632,0.01140211717608608,2.368176765799035e-09,9.11065223263563e-10,-4.12051785747547e-09
5.0,0.569459870985927,0.5899351133505273,0.014822600705571645,0.5694598686166696,0.5899351122937151,0.014822604975622322,2.3692573458689026e-09,1.0568121933118846e-09,-4.270050677629422e-09
5.2,0.5586778849202098,0.5970327426797882,0.018504255652602247,0.5586778825586308,0.5970327414720276,0.01850426006763556,2.3615789324082925e-09,1.2077606692528775e-09,-4.415033311166994e-09
5.4,0.5479376953447502,0.6038362421537925,0.022439308283961686,0.5479376929996708,0.6038362407903717,0.02243931283923778,2.3450794639501282e-09,1.3634208206880771e-09,-4.555276093831662e-09
5.6000000000000005,0.5372475469517972,0.6103447127499373,0.026619993661342586,0.5372475446320428,0.6103447112265916,0.02661999835190093,2.3197543885800087e-09,1.5233456718277694e-09,-4.690558344511153e-09
5.8,0.5266155550160578,0.6165575732210536,0.03103852365157978,0.5266155527304165,0.61655757153394,0.031038528472223215,2.2856413428584688e-09,1.687113670989504e-09,-4.820643433045557e-09
6.0,0.5160496798993262,0.6224745343687907,0.03568707308575511,0.5160496776565167,0.6224745325144692,0.03568707803104493,2.2428094936799425e-09,1.8543215851707373e-09,-4.945289816538079e-09
6.2,0.5055577103224975,0.6280955817100898,0.04055777438812838,0.5055577081311452,0.6280955796855137,0.040557779452385534,2.1913523218231035e-09,2.024576173376147e-09,-5.064257152520568e-09
6.4,0.49514725203867227,0.6334209631773243,0.04564271730404072,0.49514724990728914,0.6334209609798316,0.045642722481351816,2.1313831255476146e-09,2.1974927433277003e-09,-5.177311093729209e-09
6.6000000000000005,0.4848257198666672,0.6384511798184769,0.05093395168187874,0.4848257178036348,0.6384511774457856,0.05093395696610453,2.0630324115700205e-09,2.372691265684068e-09,-5.284225793045216e-09
6.8,0.4746003318475917,0.6431869782672615,0.056423492067864976,0.4746003298611461,0.6431869757174653,0.05642349745265052,1.986445619106547e-09,2.54979615199602e-09,-5.3847855410738e-09
